Feature,Importance
stab.glu,0.31493670411705743
age,0.1721545353988653
bp.1s,0.08686443044402221
ratio,0.0496917426475189
chol,0.04685948678713919
BMI,0.04581498547042462
waist,0.04227983955525106
waist_hip_ratio,0.03924031747462041
hip,0.029830238580203842
time.ppn,0.02890040056622471
hdl,0.02658689275850622
weight,0.025267752724944817
bp.1d,0.023945681471026378
frame_medium,0.01906102016727683
height,0.015962426278141657
frame_small,0.014397009178258906
location,0.006947611538882128
frame_large,0.006854208230750593
gender,0.0044047166108848075
